기간	행정구역별	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상
2020.2/4	합계	계	9,985,652	292,868	367,054	374,594	435,678	679,209	853,920	758,324	791,034	744,652	843,017	807,516	782,265	720,564	517,488	397,583	301,837	184,459	85,574	32,377	9,083	6,556
2020.2/4	합계	한국인	9,720,846	285,920	360,318	370,357	430,020	642,527	822,973	729,356	767,508	725,682	821,942	781,385	750,956	704,561	512,957	395,923	301,176	184,046	85,359	32,294	9,052	6,534
2020.2/4	합계	등록외국인	264,806	6,948	6,736	4,237	5,658	36,682	30,947	28,968	23,526	18,970	21,075	26,131	31,309	16,003	4,531	1,660	661	413	215	83	31	22
2020.2/4	종로구	계	160,520	3,468	4,717	5,202	6,716	14,092	14,168	10,999	10,720	10,498	13,253	13,428	13,379	11,677	8,373	6,742	5,935	3,904	1,927	772	283	267
2020.2/4	종로구	한국인	150,383	3,346	4,550	5,091	6,218	10,710	12,736	10,106	10,040	9,888	12,753	12,886	12,776	11,297	8,259	6,681	5,914	3,892	1,920	770	283	267
2020.2/4	종로구	등록외국인	10,137	122	167	111	498	3,382	1,432	893	680	610	500	542	603	380	114	61	21	12	7	2	-	-
2020.2/4	중구	계	136,030	3,703	3,936	3,309	4,319	9,688	12,121	11,193	11,103	9,403	10,376	11,032	11,463	10,349	7,516	5,836	4,890	3,157	1,574	664	200	198
2020.2/4	중구	한국인	126,092	3,449	3,648	3,108	4,023	7,784	10,781	10,186	10,207	8,717	9,671	10,339	10,600	9,884	7,344	5,761	4,840	3,135	1,560	660	198	197
2020.2/4	중구	등록외국인	9,938	254	288	201	296	1,904	1,340	1,007	896	686	705	693	863	465	172	75	50	22	14	4	2	1
2020.2/4	용산구	계	245,362	7,143	8,122	7,810	9,209	14,930	21,265	21,007	21,347	18,458	20,667	19,872	18,920	16,962	11,900	9,435	7,949	5,610	2,801	1,169	421	365
2020.2/4	용산구	한국인	229,431	6,581	7,330	7,212	8,752	13,806	19,461	18,872	19,252	16,704	19,230	18,709	17,949	16,408	11,642	9,307	7,895	5,583	2,793	1,165	417	363
2020.2/4	용산구	등록외국인	15,931	562	792	598	457	1,124	1,804	2,135	2,095	1,754	1,437	1,163	971	554	258	128	54	27	8	4	4	2
2020.2/4	성동구	계	304,851	10,677	10,716	9,451	11,698	21,926	26,578	24,872	26,339	22,453	24,470	24,791	24,306	21,569	14,677	11,381	9,244	5,715	2,594	911	239	244
2020.2/4	성동구	한국인	297,397	10,526	10,583	9,379	11,422	20,171	25,458	24,125	25,757	22,006	24,013	24,214	23,677	21,240	14,571	11,341	9,231	5,707	2,588	910	237	241
2020.2/4	성동구	등록외국인	7,454	151	133	72	276	1,755	1,120	747	582	447	457	577	629	329	106	40	13	8	6	1	2	3
2020.2/4	광진구	계	363,925	9,435	11,905	12,357	14,948	29,636	37,973	30,976	28,655	25,810	29,372	29,453	28,471	25,477	17,042	12,646	9,702	5,990	2,608	977	280	212
2020.2/4	광진구	한국인	349,574	9,071	11,568	12,167	14,519	26,584	35,984	29,562	27,603	25,056	28,507	28,201	26,868	24,688	16,872	12,596	9,685	5,976	2,601	976	279	211
